Двигатель;Номер детали;Исходное (обрезанное) значение;Что делать
TR100A;3093828;"TSB240001,9";Открыть деталь 3093828 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3093932;"TSB230242,0";Открыть деталь 3093932 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3331873;"TSB230083,T";Открыть деталь 3331873 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3332136;"04T19-2,03T";Открыть деталь 3332136 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3522904;"02T10-5,TSB";Открыть деталь 3522904 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3627961;"02T0-8,02T0";Открыть деталь 3627961 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3678606;"02T0-8,TSB2";Открыть деталь 3678606 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3678611;"TSB230131,0";Открыть деталь 3678611 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3678786;"05T10-1,05T";Открыть деталь 3678786 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3678873;"TSB250148,0";Открыть деталь 3678873 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3678921;"05T5-19,02T";Открыть деталь 3678921 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3678923;"99T5-5,05T1";Открыть деталь 3678923 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3678925;"02T0-8,05T1";Открыть деталь 3678925 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3821847;"01T13-2,96T";Открыть деталь 3821847 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3900257;"02T2-1,05T1";Открыть деталь 3900257 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3900626;"TSB230131,0";Открыть деталь 3900626 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3902114;"04T10-7,TSB";Открыть деталь 3902114 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3925344;"TSB200234,0";Открыть деталь 3925344 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;4067902;"TSB200234,T";Открыть деталь 4067902 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;4924925;"TSB220145,T";Открыть деталь 4924925 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;68368B;"05T6-8,04T5";Открыть деталь 68368B на quickserve.cummins.com — там указан полный список тем/бюллетеней
