Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15300088,PRESSURE SWITCH,SWITCH-PRESSURE,压力开关,715.95,,,TR100A,190-0270
15300089,SWITCH-TEMPERATURE,URE,温度开关,552.85,,,TR100A,190-0270
15300389,FRONT BRAKE,BRAKE HEAD ASSY,,18765.04,Тормозная система,,TR100A,165-0020
15300423,PLATE,PLATE,搭板,16.79,,,TR100A,120-0190
15300425,,PLANT-BENT,弯板,,,,TR100A,250-0020
15300537,FOOTREST,FOOTREST,歇脚板,160.48,,,TR100A,260-0015
15300538,BRACET,BRACKET,支架,16.79,,,TR100A,120-0190
15300580,CARRIER-FRONT,CARRIER-FRONT,,4314.9,Тормозная система,,TR100A,165-0020
15300585,,BRACKET,支架,,,,TR100A,250-0020
15300586,,BRACKET,支架,,,,TR100A,250-0020
15300602,Колено,ELBOW,弯头,154.52,,,TR100A,250-0020
15300658,Выключатель аварийная остановка,SWITCH,开关,204.49,,,TR100A,260-0080
15300696,"ELBOW-45 DEGREE - .56""ORFS x .25""BSPP",ELBOW,弯头,266.23,Гидравлическая система,,TR100A,230-0021
15300825,,PLATE,板,,,,TR100A,250-0020
15300852,YOKE - TRANS INPUT,FLANGE-INPUT FLANGE-TRANS,输入法兰,6882.93,,,TR100A,120-0020
15300968,,ADAPTOR,接头,,,,TR100A,250-0020
15301024,DECAL-BODY SUPPORT,DECAL–BODY SUPPORT,车箱支撑贴片,22.79,,,TR100A,290-0010
15301033,,PLATE,踏板总成,,,,TR100A,250-0020
15301135,BOLT,SCREW,螺钉,0.75,,,TR100A,260-0015
15301158,HOOD,COVER,护罩,145.11,Гидравлическая система,,TR100A,230-0021
15301277,,BRACKET,支架,,,,TR100A,250-0020
15301278,,BRACKET,支架,,,,TR100A,250-0020
15301289,PEDESTAL-ASSY--,SEAT BASE,座椅基座,509.68,,,TR100A,260-0090
15301344,ELBOW,ELBOW,弯头,152.3,Гидравлическая система,,TR100A,230-0021
